presupuesto_min,fuente_lead,tipo_propiedad,interacciones_iniciales,conversion
177000,1,1,0,0
85000,1,1,5,0
227000,1,2,2,1
252000,1,4,1,0
51000,1,3,2,1
73000,1,1,0,0
161000,1,1,2,1
126000,1,1,0,0
149000,1,4,2,0
94000,1,1,4,0
243000,1,1,8,1
230000,1,2,8,1
156000,1,2,11,1
279000,1,1,5,0
194000,1,2,1,0
94000,1,1,6,1
184000,1,1,0,0
89000,2,1,6,0
243000,1,1,6,1
146000,1,4,3,0
135000,1,2,1,0
103000,1,3,4,0
294000,1,1,1,1
138000,1,2,4,0
119000,1,4,6,1
124000,1,1,3,1
201000,1,4,4,1
183000,1,2,6,1
188000,1,2,5,0
190000,1,1,3,1
487000,1,2,7,1
120000,1,2,3,0
113000,2,4,4,0
96000,1,3,3,0
210000,1,1,4,1
279000,2,3,3,1
141000,1,3,4,0
94000,1,2,5,1
95000,1,1,2,0
215000,1,1,4,1
226000,1,1,3,0
202000,1,1,7,0
104000,1,4,5,0
170000,1,1,5,0
160000,1,2,6,0
169000,1,2,4,0
242000,1,2,2,0
170000,1,1,0,0
218000,1,2,6,0
156000,1,2,0,0
176000,1,2,0,1
212000,1,1,5,0
67000,1,2,6,0
126000,1,1,6,0
116000,1,2,7,0
106000,1,1,2,0
129000,2,1,13,1
341000,2,3,8,1
93000,1,1,17,0
255000,2,3,11,0
59000,1,3,4,0
125000,1,1,0,0
164000,1,1,7,1
207000,1,1,0,0
222000,1,3,4,1
232000,1,2,1,1
124000,1,1,3,1
116000,1,2,0,1
240000,1,1,0,0
135000,1,2,0,0
74000,1,2,1,0
80000,1,1,4,0
90000,2,3,3,0
197000,1,1,6,0
162000,1,2,5,0
219000,1,2,2,1
119000,1,4,6,1
164000,2,2,3,1
212000,2,3,4,0
127000,2,1,3,1
193000,1,3,2,0
104000,2,1,3,1
123000,1,2,0,1
122000,1,1,0,0
78000,1,4,3,1
196000,2,4,3,0
116000,2,1,4,0
151000,1,2,6,0
195000,2,2,3,1
192000,1,1,2,0
216000,1,2,3,0
142000,1,2,6,1
